Niv1_NAF Rev 2 - Version finale_NAF Rev 2 - 65 caractères_NAF Rev 2 - 40 Caractères
A_Agriculture, sylviculture et pêche_Agriculture, sylviculture et pêche_Agriculture, sylviculture et pêche
B_Industries extractives_Industries extractives_Industries extractives
C_Industrie manufacturière_Industrie manufacturière_Industrie manufacturière
D_Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné_Prod. & distribution électricité, gaz, vapeur & air conditionné_Prdn & distr. élec. gaz vap. & air cond.
E_Production et distribution d'eau ; assainissement, gestion des déchets et dépollution_Prod. & distrib. eau assainisst, gestion déchets & dépollution_Gestion eau, déchets & dépollution
F_Construction_Construction_Construction
G_Commerce ; réparation d'automobiles et de motocycles_Commerce ; réparation d'automobiles et de motocycles_Commerce ; répar. automobile & motocycle
H_Transports et entreposage_Transports et entreposage_Transports et entreposage
I_Hébergement et restauration_Hébergement et restauration_Hébergement et restauration
J_Information et communication_Information et communication_Information et communication
K_Activités financières et d'assurance_Activités financières et d'assurance_Activités financières et d'assurance
L_Activités immobilières_Activités immobilières_Activités immobilières
M_Activités spécialisées, scientifiques et techniques_Activités spécialisées, scientifiques et techniques_Act. spécialisée, scientifiq. & techniq.
N_Activités de services administratifs et de soutien_Activités de services administratifs et de soutien_Activités de sce administr. & de soutien
O_Administration publique_Administration publique_Administration publique
P_Enseignement_Enseignement_Enseignement
Q_Santé humaine et action sociale_Santé humaine et action sociale_Santé humaine et action sociale
R_Arts, spectacles et activités récréatives_Arts, spectacles et activités récréatives_Arts, spectacles & activités récréatives
S_Autres activités de services_Autres activités de services_Autres activités de services
T_Activités des ménages en tant qu'employeurs ; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre_Activ. ménages : employeurs, produc. biens & serv. (usage propre)_Act. ménages: empl., prod. pr us. propre
U_Activités extra-territoriales_Activités extra-territoriales_Activités extra-territoriales
