Niv2_Niv1_NAF Rev 2 - Version finale_NAF Rev 2 - 65 caractères_NAF Rev 2 - 40 Caractères
01_A_Culture et production animale, chasse et services annexes_Culture et production animale, chasse et services annexes_Cult. & prod. animale, chasse & sce ann.
02_A_Sylviculture et exploitation forestière_Sylviculture et exploitation forestière_Sylviculture et exploitation forestière
03_A_Pêche et aquaculture_Pêche et aquaculture_Pêche et aquaculture
05_B_Extraction de houille et de lignite_Extraction de houille et de lignite_Extraction de houille et de lignite
06_B_Extraction d'hydrocarbures_Extraction d'hydrocarbures_Extraction d'hydrocarbures
07_B_Extraction de minerais métalliques_Extraction de minerais métalliques_Extraction de minerais métalliques
08_B_Autres industries extractives_Autres industries extractives_Autres industries extractives
09_C_Services de soutien aux industries extractives_Services de soutien aux industries extractives_Sces de soutien aux indust. extractives
10_C_Industries alimentaires_Industries alimentaires_Industries alimentaires
11_C_Fabrication de boissons_Fabrication de boissons_Fabrication de boissons
12_C_Fabrication de produits à base de tabac_Fabrication de produits à base de tabac_Fabrication de produits à base de tabac
13_C_Fabrication de textiles_Fabrication de textiles_Fabrication de textiles
14_C_Industrie de l'habillement_Industrie de l'habillement_Industrie de l'habillement
15_C_Industrie du cuir et de la chaussure_Industrie du cuir et de la chaussure_Industrie du cuir et de la chaussure
16_C_Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles ; fabrication d'articles en vannerie et sparterie_Trav. bois; fab. art. bois liège (sf mbles), vannerie & sparterie_Trav. bois; fab. article bois, vannerie
17_C_Industrie du papier et du carton_Industrie du papier et du carton_Industrie du papier et du carton
18_C_Imprimerie et reproduction d'enregistrements_Imprimerie et reproduction d'enregistrements_Imprimerie & reprod. d'enregistrements
19_C_Cokéfaction et raffinage_Cokéfaction et raffinage_Cokéfaction et raffinage
20_C_Industrie chimique_Industrie chimique_Industrie chimique
21_C_Industrie pharmaceutique_Industrie pharmaceutique_Industrie pharmaceutique
22_C_Fabrication de produits en caoutchouc et en plastique_Fabrication de produits en caoutchouc et en plastique_Fab. prod. en caoutchouc & en plastique
23_C_Fabrication d'autres produits minéraux non métalliques_Fabrication d'autres produits minéraux non métalliques_Fab. aut. prod. minéraux non métalliques
24_C_Métallurgie_Métallurgie_Métallurgie
25_C_Fabrication de produits métalliques, à l'exception des machines et des équipements_Fabric. produits métalliques, sf machines & équipements_Fab. prod. métalliq. sf machine & équipt
26_C_Fabrication de produits informatiques, électroniques et optiques_Fabrication de produits informatiques, électroniques et optiques_Fab. prod. informat., électroniq. & opt.
27_C_Fabrication d'équipements électriques_Fabrication d'équipements électriques_Fabrication d'équipements électriques
28_C_Fabrication de machines et équipements n.c.a._Fabrication de machines et équipements n.c.a._Fabric. de machines & équipements n.c.a.
29_C_Industrie automobile_Industrie automobile_Industrie automobile
30_C_Fabrication d'autres matériels de transport_Fabrication d'autres matériels de transport_Fabric. d'autres matériels de transport
31_C_Fabrication de meubles_Fabrication de meubles_Fabrication de meubles
32_C_Autres industries manufacturières_Autres industries manufacturières_Autres industries manufacturières
33_C_Réparation et installation de machines et d'équipements_Réparation et installation de machines et d'équipements_Réparation & install. machine & équipt
35_D_Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné_Prod. & distribution électricité gaz vapeur & air conditionné_Prdn & distr. élec. gaz vap. & air cond.
36_E_Captage, traitement et distribution d'eau_Captage, traitement et distribution d'eau_Captage, traitement & distribution d'eau
37_E_Collecte et traitement des eaux usées_Collecte et traitement des eaux usées_Collecte et traitement des eaux usées
38_E_Collecte, traitement et élimination des déchets ; récupération_Collecte, traitement et élimination des déchets ; récupération_Collecte, gestion déchets ; récupération
39_E_Dépollution et autres services de gestion des déchets_Dépollution et autres services de gestion des déchets_Dépollution & autre sces gestion déchets
41_F_Construction de bâtiments_Construction de bâtiments_Construction de bâtiments
42_F_Génie civil_Génie civil_Génie civil
43_F_Travaux de construction spécialisés_Travaux de construction spécialisés_Travaux de construction spécialisés
45_G_Commerce et réparation d'automobiles et de motocycles_Commerce et réparation d'automobiles et de motocycles_Commerce & répar. automobile & motocycle
46_G_Commerce de gros, à l'exception des automobiles et des motocycles_Commerce de gros, à l’exception des automobiles et des motocycles_Commerce gros hors auto. & motocycle
47_G_Commerce de détail, à l'exception des automobiles et des motocycles_Comm. détail, sf automobiles et motocycles_Com. détail, sf automobiles & motocycles
49_H_Transports terrestres et transport par conduites_Transports terrestres et transport par conduites_Transport terrest. & trans. par conduite
50_H_Transports par eau_Transports par eau_Transports par eau
51_H_Transports aériens_Transports aériens_Transports aériens
52_H_Entreposage et services auxiliaires des transports_Entreposage et services auxiliaires des transports_Entreposage & sce auxiliaire des transp.
53_H_Activités de poste et de courrier_Activités de poste et de courrier_Activités de poste et de courrier
55_I_Hébergement_Hébergement_Hébergement
56_I_Restauration_Restauration_Restauration
58_J_Édition_Édition_Édition
59_J_Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale_Prod. films cinémat. vidéo & prog.TV; enrg. sonore & éd. musicale_Prod. films ; enr. sonore & éd. musicale
60_J_Programmation et diffusion_Programmation et diffusion_Programmation et diffusion
61_J_Télécommunications_Télécommunications_Télécommunications
62_J_Programmation, conseil et autres activités informatiques_Programmation, conseil et autres activités informatiques_Pgmtion conseil & aut. act. informatique
63_J_Services d'information_Services d'information_Services d'information
64_K_Activités des services financiers, hors assurance et caisses de retraite_Activ. services financiers, hors assurance & caisses de retraite_Act. financ. hs assur. & cais. retraite
65_K_Assurance_Assurance_Assurance
66_K_Activités auxiliaires de services financiers et d'assurance_Activités auxiliaires de services financiers et d'assurance_Act. auxiliaire sces financ. & d'assur.
