NAP600_LIB_NAP600_NAP100_LIB_NAP100_NAP40_LIB_NAP40_NAP15_LIB_NAP15
01.00_Cultures générales_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.07_Cultures générales associées à d'autres activités agricoles_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.10_Production de légumes frais, de fleurs; pépinières_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.16_Cultures fruitières_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.17_Viticulture_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.30_Vinification_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.50_Elevage de bovins_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.56_Elevage de bovins associé à d'autres activités agricoles_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.57_Elevage d'ovins, caprins, équins_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.60_Elevage de porcins_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.63_Aviculture_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.70_Productions agricoles diverses_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.74_Chasse et piégeage_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.80_Travaux agricoles à façon_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
01.90_Services effectués au profit de l'élevage_01_Agriculture_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
02.10_Sylviculture et services aux forêts_02_Sylviculture et exploitation forestière_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
02.20_Exploitation forestière_02_Sylviculture et exploitation forestière_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
03.10_Pêche en mer_03_Pêche_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
03.20_Conchyliculture_03_Pêche_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
03.30_Pisciculture et pêche en eau douce_03_Pêche_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
03.40_Culture et récolte de produits marins divers_03_Pêche_T01_Agriculture, sylviculture, pêche_U01_Agriculture, sylviculture, pêche
35.01_Abattage du bétail_35_Industrie de la viande_T02_Industries de la viande et du lait_U02_Industries agricoles et alimentaires
35.04_Fabrication de charcuterie et de conserves de viandes_35_Industrie de la viande_T02_Industries de la viande et du lait_U02_Industries agricoles et alimentaires
35.05_Abattage de volaille_35_Industrie de la viande_T02_Industries de la viande et du lait_U02_Industries agricoles et alimentaires
36.10_Industrie laitière_36_Industrie laitière_T02_Industries de la viande et du lait_U02_Industries agricoles et alimentaires
36.20_Fabrication de crèmes glacées, glaces et sorbets_36_Industrie laitière_T02_Industries de la viande et du lait_U02_Industries agricoles et alimentaires
37.01_Conserverie de fruits et confitures_37_Fabrication de conserves_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
37.02_Conserverie de légumes_37_Fabrication de conserves_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
37.03_Conserverie de poissons_37_Fabrication de conserves_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
37.04_Préparation de plats cuisinés_37_Fabrication de conserves_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
38.10_Fabrication industrielle de pain et de pâtisserie fraîche_38_Boulangerie, pâtisserie_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
38.40_Boulangerie, pâtisserie_38_Boulangerie, pâtisserie_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
38.50_Pâtisserie_38_Boulangerie, pâtisserie_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.01_Meunerie_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.02_Biscuiterie, biscotterie_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.03_Semoulerie_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.04_Fabrication de pâtes alimentaires et de couscous_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.05_Transformation de céréales secondaires_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.06_Malterie_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.07_Fabrication de produits amylacés_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
39.08_Fabrication d'aliments pour animaux_39_Travail du grain_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
40.11_Fabrication d'huiles et corps gras bruts_40_Fabrication de produits alimentaires divers_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
40.12_Fabrication d'huiles et corps gras raffinés et de margarine_40_Fabrication de produits alimentaires divers_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
40.21_Sucreries, raffineries de sucre_40_Fabrication de produits alimentaires divers_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
40.31_Chocolaterie, confiserie_40_Fabrication de produits alimentaires divers_T03_Autres industries agricoles et alimentaires_U02_Industries agricoles et alimentaires
