Niv4_Niv3_Niv2_Niv1_NAF Rev 2 - Version finale_NAF Rev 2 - 65 caractères_NAF Rev 2 - 40 Caractères
01.11_01.1_01_A_Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses_Culture de céréales (sf riz) légumineuses, graines oléagineuses_Cult céréale, légumineuse, graine oléag.
01.12_01.1_01_A_Culture du riz_Culture du riz_Culture du riz
01.13_01.1_01_A_Culture de légumes, de melons, de racines et de tubercules_Culture de légumes, de melons, de racines et de tubercules_Cult. légume, melon, racine & tubercule
01.14_01.1_01_A_Culture de la canne à sucre_Culture de la canne à sucre_Culture de la canne à sucre
01.15_01.1_01_A_Culture du tabac_Culture du tabac_Culture du tabac
01.16_01.1_01_A_Culture de plantes à fibres_Culture de plantes à fibres_Culture de plantes à fibres
01.19_01.1_01_A_Autres cultures non permanentes_Autres cultures non permanentes_Autres cultures non permanentes
01.21_01.2_01_A_Culture de la vigne_Culture de la vigne_Culture de la vigne
01.22_01.2_01_A_Culture de fruits tropicaux et subtropicaux_Culture de fruits tropicaux et subtropicaux_Culture fruits tropicaux et subtropicaux
01.23_01.2_01_A_Culture d'agrumes_Culture d'agrumes_Culture d'agrumes
01.24_01.2_01_A_Culture de fruits à pépins et à noyau_Culture de fruits à pépins et à noyau_Culture de fruits à pépins et à noyau
01.25_01.2_01_A_Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque_Culture d'aut. fruits d'arbres ou d'arbustes et de fruits a coque_Cult. d'aut. fruits & de fruits à coque
01.26_01.2_01_A_Culture de fruits oléagineux_Culture de fruits oléagineux_Culture de fruits oléagineux
01.27_01.2_01_A_Culture de plantes à boissons_Culture de plantes à boissons_Culture de plantes à boissons
01.28_01.2_01_A_Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques_Culture plantes à épices aromatiques médicinales pharmaceutiques_Cult. plante aromatiq. médicin. pharma.
01.29_01.2_01_A_Autres cultures permanentes_Autres cultures permanentes_Autres cultures permanentes
01.30_01.3_01_A_Reproduction de plantes_Reproduction de plantes_Reproduction de plantes
01.41_01.4_01_A_Élevage de vaches laitières_Élevage de vaches laitières_Élevage de vaches laitières
01.42_01.4_01_A_Élevage d'autres bovins et de buffles_Élevage d'autres bovins et de buffles_Élevage d'autres bovins et de buffles
01.43_01.4_01_A_Élevage de chevaux et d'autres équidés_Élevage de chevaux et d'autres équidés_Élevage de chevaux et d'autres équidés
01.44_01.4_01_A_Élevage de chameaux et d'autres camélidés_Élevage de chameaux et d'autres camélidés_Élevage de chameaux & d'autres camélidés
01.45_01.4_01_A_Élevage d'ovins et de caprins_Élevage d'ovins et de caprins_Élevage d'ovins et de caprins
01.46_01.4_01_A_Élevage de porcins_Élevage de porcins_Élevage de porcins
01.47_01.4_01_A_Élevage de volailles_Élevage de volailles_Élevage de volailles
01.49_01.4_01_A_Élevage d'autres animaux_Élevage d'autres animaux_Élevage d'autres animaux
01.50_01.5_01_A_Culture et élevage associés_Culture et élevage associés_Culture et élevage associés
01.61_01.6_01_A_Activités de soutien aux cultures_Activités de soutien aux cultures_Activités de soutien aux cultures
01.62_01.6_01_A_Activités de soutien à la production animale_Activités de soutien à la production animale_Activités de soutien à la prod. animale
01.63_01.6_01_A_Traitement primaire des récoltes_Traitement primaire des récoltes_Traitement primaire des récoltes
01.64_01.6_01_A_Traitement des semences_Traitement des semences_Traitement des semences
01.70_01.7_01_A_Chasse, piégeage et services annexes_Chasse, piégeage et services annexes_Chasse, piégeage et services annexes
02.10_02.1_02_A_Sylviculture et autres activités forestières_Sylviculture et autres activités forestières_Sylviculture & autres act. forestières
02.20_02.2_02_A_Exploitation forestière_Exploitation forestière_Exploitation forestière
02.30_02.3_02_A_Récolte de produits forestiers non ligneux poussant à l'état sauvage_Récolte prod. forestiers non ligneux poussant à l'état sauvage_Récolte prodts forestiers non ligneux
02.40_02.4_02_A_Services de soutien à l'exploitation forestière_Services de soutien à l'exploitation forestière_Services de soutien à l'expl. forestière
03.11_03.1_03_A_Pêche en mer_Pêche en mer_Pêche en mer
03.12_03.1_03_A_Pêche en eau douce_Pêche en eau douce_Pêche en eau douce
03.21_03.2_03_A_Aquaculture en mer_Aquaculture en mer_Aquaculture en mer
03.22_03.2_03_A_Aquaculture en eau douce_Aquaculture en eau douce_Aquaculture en eau douce
05.10_05.1_05_B_Extraction de houille_Extraction de houille_Extraction de houille
05.20_05.2_05_B_Extraction de lignite_Extraction de lignite_Extraction de lignite
06.10_06.1_06_B_Extraction de pétrole brut_Extraction de pétrole brut_Extraction de pétrole brut
06.20_06.2_06_B_Extraction de gaz naturel_Extraction de gaz naturel_Extraction de gaz naturel
07.10_07.1_07_B_Extraction de minerais de fer_Extraction de minerais de fer_Extraction de minerais de fer
07.21_07.2_07_B_Extraction de minerais d'uranium et de thorium_Extraction de minerais d'uranium et de thorium_Extr. de minerais d'uranium & de thorium
07.29_07.2_07_B_Extraction d'autres minerais de métaux non ferreux_Extraction d'autres minerais de métaux non ferreux_Extr. aut. minerai de métaux non ferreux
08.11_08.1_08_B_Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise_Extraction pierres ornement. construc. calcaire industriel, gypse_Extr. pierre ornement. & construct. etc.
