Niv3_Niv2_Niv 1_NAF Rev 2 - Version finale_NAF Rev 2 - 65 caractères_NAF Rev 2 - 40 Caractères
01.1_01_A_Cultures non permanentes_Cultures non permanentes_Cultures non permanentes
01.2_01_A_Cultures permanentes_Cultures permanentes_Cultures permanentes
01.3_01_A_Reproduction de plantes_Reproduction de plantes_Reproduction de plantes
01.4_01_A_Production animale_Production animale_Production animale
01.5_01_A_Culture et élevage associés_Culture et élevage associés_Culture et élevage associés
01.6_01_A_Activités de soutien à l'agriculture et traitement primaire des récoltes_Activ. soutien à l'agriculture & trt primaire des récoltes_Act. soutien agr. & trait. prim. récolt.
01.7_01_A_Chasse, piégeage et services annexes_Chasse, piégeage et services annexes_Chasse, piégeage et services annexes
02.1_02_A_Sylviculture et autres activités forestières_Sylviculture et autres activités forestières_Sylviculture & autres act. forestières
02.2_02_A_Exploitation forestière_Exploitation forestière_Exploitation forestière
02.3_02_A_Récolte de produits forestiers non ligneux poussant à l'état sauvage_Récolte produits forestiers non ligneux poussant à l'état sauvage_Récolte prodts forestiers non ligneux
02.4_02_A_Services de soutien à l'exploitation forestière_Services de soutien à l'exploitation forestière_Services de soutien à l'expl. forestière
03.1_03_A_Pêche_Pêche_Pêche
03.2_03_A_Aquaculture_Aquaculture_Aquaculture
05.1_05_B_Extraction de houille_Extraction de houille_Extraction de houille
05.2_05_B_Extraction de lignite_Extraction de lignite_Extraction de lignite
06.1_06_B_Extraction de pétrole brut_Extraction de pétrole brut_Extraction de pétrole brut
06.2_06_B_Extraction de gaz naturel_Extraction de gaz naturel_Extraction de gaz naturel
07.1_07_B_Extraction de minerais de fer_Extraction de minerais de fer_Extraction de minerais de fer
07.2_07_B_Extraction de minerais de métaux non ferreux_Extraction de minerais de métaux non ferreux_Extr. de minerais de métaux non ferreux
08.1_08_B_Extraction de pierres, de sables et d'argiles_Extraction de pierres, de sables et d'argiles_Extr. de pierres, de sables et d'argiles
08.9_08_B_Activités extractives n.c.a._Activités extractives n.c.a._Activités extractives n.c.a.
09.1_09_C_Activités de soutien à l'extraction d'hydrocarbures_Activités de soutien à l'extraction d'hydrocarbures_Act. de soutien à l'extr. hydrocarbures
09.9_09_C_Activités de soutien aux autres industries extractives_Activités de soutien aux autres industries extractives_Act. de soutien aut. indus. extractives
10.1_10_C_Transformation et conservation de la viande et préparation de produits à base de viande_Transform. & conserv. viande & préparation prod. à base de viande_Transf. & conserv. viande & prép. viande
10.2_10_C_Transformation et conservation de poisson, de crustacés et de mollusques_Transform. & conserv. poisson, crustacés & mollusques_Transf. & conserv. poisson, crust., etc.
10.3_10_C_Transformation et conservation de fruits et légumes_Transformation et conservation de fruits et légumes_Transf. et conserv. de fruits et légumes
10.4_10_C_Fabrication d'huiles et graisses végétales et animales_Fabrication d’huiles et graisses végétales et animales_Fab. huile et graisse végétale & animale
10.5_10_C_Fabrication de produits laitiers_Fabrication de produits laitiers_Fabrication de produits laitiers
10.6_10_C_Travail des grains ; fabrication de produits amylacés_Travail des grains ; fabrication de produits amylacés_Travail des grains ; fab. prod. amylacé
10.7_10_C_Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires_Fabrication produits boulangerie-pâtisserie & pâtes alimentaires_Fab. prod. boulangerie-pâtis. & pâtes
10.8_10_C_Fabrication d'autres produits alimentaires_Fabrication d'autres produits alimentaires_Fabric. d'autres produits alimentaires
10.9_10_C_Fabrication d'aliments pour animaux_Fabrication d'aliments pour animaux_Fabrication d'aliments pour animaux
11.0_11_C_Fabrication de boissons_Fabrication de boissons_Fabrication de boissons
12.0_12_C_Fabrication de produits à base de tabac_Fabrication de produits à base de tabac_Fabrication de produits à base de tabac
13.1_13_C_Préparation de fibres textiles et filature_Préparation de fibres textiles et filature_Prépa. de fibres textiles et filature
13.2_13_C_Tissage_Tissage_Tissage
13.3_13_C_Ennoblissement textile_Ennoblissement textile_Ennoblissement textile
13.9_13_C_Fabrication d'autres textiles_Fabrication d'autres textiles_Fabrication d'autres textiles
14.1_14_C_Fabrication de vêtements, autres qu'en fourrure_Fabrication de vêtements, autres qu'en fourrure_Fab. de vêtements, autres qu'en fourrure
14.2_14_C_Fabrication d'articles en fourrure_Fabrication d'articles en fourrure_Fabrication d'articles en fourrure
14.3_14_C_Fabrication d'articles à mailles_Fabrication d'articles à mailles_Fabrication d'articles à mailles
15.1_15_C_Apprêt et tannage des cuirs ; préparation et teinture des fourrures ; fabrication d'articles de voyage, de maroquinerie et de sellerie_Prépa. des cuir & fourrure; fabric. art. voyage maroq. & sellerie_Indust. cuir & fourrure; maroq. & selle.
15.2_15_C_Fabrication de chaussures_Fabrication de chaussures_Fabrication de chaussures
16.1_16_C_Sciage et rabotage du bois_Sciage et rabotage du bois_Sciage et rabotage du bois
16.2_16_C_Fabrication d'articles en bois, liège, vannerie et sparterie_Fabrication d'articles en bois, liège, vannerie et sparterie_Fab. article bois, liège, vannerie, etc.
